SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2181 Jamieson Ave #1401,Alexandria,VA,22314,625000,2,2.0,CARLYLE TOWERS,1228,,2001,2,509,720,Active,,,https://www.redfin.com/VA/Alexandria/2181-Jamieson-Ave-22314/unit-1401/home/11875829,BRIGHT MLS,VAAX2005854,N,Y,38.8029799,-77.0671046
MLS Listing,,Townhouse,6011 Monticello Rd,Alexandria,VA,22303,575000,3,1.5,JEFFERSON MANOR,1224,3603,1947,2,470,,Active,,,https://www.redfin.com/VA/Alexandria/6011-Monticello-Rd-22303/home/9761312,BRIGHT MLS,VAFX2033694,N,Y,38.7870558,-77.0793468
MLS Listing,,Condo/Co-op,203 Yoakum Pkwy #1208,Alexandria,VA,22304,315000,2,2.0,WATERGATE AT LANDMARK,1309,,1975,2,241,859,Active,,,https://www.redfin.com/VA/Alexandria/203-Yoakum-Pkwy-22304/unit-1208/home/11857827,BRIGHT MLS,VAAX2006114,N,Y,38.8104071,-77.1404453
MLS Listing,,Townhouse,208 E Glebe Rd Unit A,Alexandria,VA,22305,709900,2,2.0,LYNHAVEN,1377,3752,1942,2,516,,Active,,,https://www.redfin.com/VA/Alexandria/208-E-Glebe-Rd-22305/unit-A/home/11845516,BRIGHT MLS,VAAX2005794,N,Y,38.8340549,-77.0542314
MLS Listing,,Townhouse,108 Cahill Dr,Alexandria,VA,22304,599900,2,3.0,TOWNES AT CAMERON PARKE,1836,1404,1998,2,327,116,Active,,,https://www.redfin.com/VA/Alexandria/108-Cahill-Dr-22304/home/11872686,BRIGHT MLS,VAAX2006130,N,Y,38.8048352,-77.0941618
MLS Listing,,Condo/Co-op,16 Ashby St Unit C,Alexandria,VA,22305,235000,1,1.0,AUBURN VILLAGE,700,,1939,2,336,443,Active,,,https://www.redfin.com/VA/Alexandria/16-Ashby-St-22305/unit-C/home/11867327,BRIGHT MLS,VAAX2005964,N,Y,38.8334729,-77.0571884
MLS Listing,,Townhouse,5905 Saint Giles Way,Alexandria,VA,22315,425000,3,2.5,KINGSTOWNE SEC 26,1104,923,1991,2,385,105,Active,,,https://www.redfin.com/VA/Alexandria/5905-St-Giles-Way-22315/home/9787987,BRIGHT MLS,VAFX2032194,N,Y,38.7582328,-77.1398336
MLS Listing,,Single Family Residential,311 Kentucky Ave,Alexandria,VA,22305,1250000,4,3.5,BEVERLY HILLS,3412,8400,1940,2,366,,Active,,,https://www.redfin.com/VA/Alexandria/311-Kentucky-Ave-22305/home/11849090,BRIGHT MLS,VAAX2006034,N,Y,38.837638,-77.0667198
MLS Listing,,Townhouse,5365 Harbor Court Dr,Alexandria,VA,22315,429900,2,1.5,D EVEREAUX WEST,1230,1135,1983,2,350,110,Active,,,https://www.redfin.com/VA/Alexandria/5365-Harbor-Ct-Dr-22315/home/9782921,BRIGHT MLS,VAFX2032948,N,Y,38.7676516,-77.1296933
MLS Listing,,Condo/Co-op,6300 Stevenson Ave #622,Alexandria,VA,22304,269900,2,2.0,SENTINEL OF LANDMARK,1054,,1980,2,256,668,Active,,,https://www.redfin.com/VA/Alexandria/6300-Stevenson-Ave-22304/unit-622/home/11864279,BRIGHT MLS,VAAX2004746,N,Y,38.812736,-77.1410563
MLS Listing,,Single Family Residential,5303 Neville Ct,Alexandria,VA,22310,800000,4,3.5,BUSH HILL WOODS,2938,11260,1966,2,272,,Active,,,https://www.redfin.com/VA/Alexandria/5303-Neville-Ct-22310/home/9755778,BRIGHT MLS,VAFX2031022,N,Y,38.7929888,-77.1235053
MLS Listing,,Condo/Co-op,501 Slaters Ln #201,Alexandria,VA,22314,415000,1,1.0,MARINA TOWERS,872,,1970,2,476,647,Active,,,https://www.redfin.com/VA/Alexandria/501-Slaters-Ln-22314/unit-201/home/11864731,BRIGHT MLS,VAAX2006146,N,Y,38.8223881,-77.0417369
MLS Listing,,Condo/Co-op,1100 Quaker Hill Dr #416,Alexandria,VA,22314,345000,2,2.0,QUAKER HILL,1077,,1991,2,320,546,Active,,,https://www.redfin.com/VA/Alexandria/1100-Quaker-Hill-Dr-22314/unit-416/home/11870868,BRIGHT MLS,VAAX2005900,N,Y,38.809899,-77.0843715
MLS Listing,,Condo/Co-op,601 N Fairfax St #214,Alexandria,VA,22314,1495000,2,2.5,THE ORONOCO,1825,,2014,2,819,1244,Active,,,https://www.redfin.com/VA/Alexandria/601-N-Fairfax-St-22314/unit-214/home/101387881,BRIGHT MLS,VAAX2005556,N,Y,38.8108276,-77.0407047
MLS Listing,,Condo/Co-op,400 Cameron Station Blvd #417,Alexandria,VA,22304,515000,2,2.0,CAMERON STATION,1484,,2007,2,347,709,Active,,,https://www.redfin.com/VA/Alexandria/400-Cameron-Station-Blvd-22304/unit-417/home/17061557,BRIGHT MLS,VAAX2005658,N,Y,38.8058658,-77.125113
MLS Listing,,Condo/Co-op,6101 Fairview Farm Dr #308,Alexandria,VA,22315,585000,2,2.0,CREST OF ALEXANDRIA,1658,,2019,2,353,437,Active,,,https://www.redfin.com/VA/Alexandria/6101-Fairview-Farm-Dr-22315/unit-308/home/172400711,BRIGHT MLS,VAFX2032544,N,Y,38.7465325,-77.1528673
MLS Listing,,Townhouse,8213 Claremont Woods Dr Dr,Alexandria,VA,22309,395000,3,2.5,GEORGELAND VILLAGE PHASE,1280,1400,1985,2,309,83,Active,,,https://www.redfin.com/VA/Alexandria/8213-Claremont-Woods-Dr-22309/home/9814866,BRIGHT MLS,VAFX2032174,N,Y,38.734893,-77.108756
MLS Listing,,Townhouse,814 Rivergate Pl,Alexandria,VA,22314,1599999,3,3.5,RIVERGATE,2898,1727,1995,2,552,200,Active,,,https://www.redfin.com/VA/Alexandria/814-Rivergate-Pl-22314/home/11871409,BRIGHT MLS,VAAX2006046,N,Y,38.812766,-77.038985
MLS Listing,,Single Family Residential,6326 Colette Dr,Alexandria,VA,22315,700000,4,4.0,GLYNALTA PARK,2230,23012,1955,3,314,,Active,,,https://www.redfin.com/VA/Alexandria/6326-Colette-Dr-22315/home/9785117,BRIGHT MLS,VAFX2033214,N,Y,38.7557885,-77.161795
MLS Listing,,Condo/Co-op,6603 E Wakefield Dr Unit A1,Alexandria,VA,22307,239000,1,1.0,BELLE VIEW CONDO,623,,1950,3,384,297,Active,,,https://www.redfin.com/VA/Alexandria/6603-E-Wakefield-Dr-22307/unit-A1/home/143283275,BRIGHT MLS,VAFX2026182,N,Y,38.7745472,-77.0554544
MLS Listing,,Single Family Residential,5810 Valley View Dr,Alexandria,VA,22310,925000,5,4.5,OAKBROOK KNOLLS,4816,49141,1996,3,192,75,Active,,,https://www.redfin.com/VA/Alexandria/5810-Valley-View-Dr-22310/home/9751430,BRIGHT MLS,VAFX2032884,N,Y,38.7931798,-77.1477524
MLS Listing,,Condo/Co-op,5300 Holmes Run Pkwy #506,Alexandria,VA,22304,289900,2,2.0,GREENHOUSE,1263,,1975,3,230,764,Active,,,https://www.redfin.com/VA/Alexandria/5300-Holmes-Run-Pkwy-22304/unit-506/home/11855636,BRIGHT MLS,VAAX2006008,N,Y,38.8152981,-77.1219453
MLS Listing,,Single Family Residential,7826 Ashton St,Alexandria,VA,22309,588000,5,3.0,MOUNT VERNON WOODS,2355,12300,1956,3,250,,Active,,,https://www.redfin.com/VA/Alexandria/7826-Ashton-St-22309/home/9812254,BRIGHT MLS,VAFX2033394,N,Y,38.7444201,-77.1024228
MLS Listing,,Single Family Residential,2111 Whiteoaks Dr,Alexandria,VA,22306,1024900,4,2.0,HOLLIN HILLS,2164,19951,1967,3,474,,Active,,,https://www.redfin.com/VA/Alexandria/2111-Whiteoaks-Dr-22306/home/9795632,BRIGHT MLS,VAFX2032390,N,Y,38.7523374,-77.0678466
MLS Listing,,Condo/Co-op,2500 N Van Dorn St #602,Alexandria,VA,22302,275000,3,2.0,PARK PLACE,1302,,1965,3,211,903,Active,,,https://www.redfin.com/VA/Alexandria/2500-N-Van-Dorn-St-22302/unit-602/home/11867823,BRIGHT MLS,VAAX2006084,N,Y,38.8326778,-77.0997478
MLS Listing,,Townhouse,5619 Ridge View Dr,Alexandria,VA,22310,524900,3,3.0,LOFTRIDGE,2061,1560,1984,3,255,87,Active,,,https://www.redfin.com/VA/Alexandria/5619-Ridge-View-Dr-22310/home/9756092,BRIGHT MLS,VAFX2015826,N,Y,38.797808,-77.106608
MLS Listing,,Townhouse,6385 Hawk View Ln,Alexandria,VA,22312,650000,4,3.5,OVERLOOK SEC B2  SEC B4,1704,2233,2000,3,381,128,Active,,,https://www.redfin.com/VA/Alexandria/6385-Hawk-View-Ln-22312/home/9835418,BRIGHT MLS,VAFX2032872,N,Y,38.8068433,-77.1535606
MLS Listing,,Townhouse,409 Royal St S,Alexandria,VA,22314,899000,2,2.0,OLD TOWN ALEXANDRIA,1440,2583,1952,3,624,,Active,,,https://www.redfin.com/VA/Alexandria/409-S-Royal-St-22314/home/11841405,BRIGHT MLS,VAAX2005862,N,Y,38.8008316,-77.0446515
