"","year","winner","winner_score","loser_score","army_score","navy_score","total_score","location","city","state","total","diff","army_wins","philly"
"52","1951","Navy",42,7,7,42,49,"Municipal Stadium","Philadelphia","PA",49,35,"0","1"
"53","1952","Navy",7,0,0,7,7,"Municipal Stadium","Philadelphia","PA",7,7,"0","1"
"54","1953","Army",20,7,20,7,27,"Municipal Stadium","Philadelphia","PA",27,13,"1","1"
"55","1954","Navy",27,20,20,27,47,"Municipal Stadium","Philadelphia","PA",47,7,"0","1"
"56","1955","Army",14,6,14,6,20,"Municipal Stadium","Philadelphia","PA",20,8,"1","1"
"57","1956","Tie",7,7,7,7,NA,"Municipal Stadium","Philadelphia","PA",14,0,"0","1"
"58","1957","Navy",14,0,0,14,14,"Municipal Stadium","Philadelphia","PA",14,14,"0","1"
"59","1958","Army",22,6,22,6,28,"Municipal Stadium","Philadelphia","PA",28,16,"1","1"
"60","1959","Navy",43,12,12,43,55,"Municipal Stadium","Philadelphia","PA",55,31,"0","1"
"61","1960","Navy",17,12,12,17,29,"Municipal Stadium","Philadelphia","PA",29,5,"0","1"
"62","1961","Navy",13,7,7,13,20,"Municipal Stadium","Philadelphia","PA",20,6,"0","1"
"63","1962","Navy",34,14,14,34,48,"Municipal Stadium","Philadelphia","PA",48,20,"0","1"
"64","1963","Navy",21,15,15,21,36,"Municipal Stadium","Philadelphia","PA",36,6,"0","1"
"65","1964","Army",11,8,11,8,19,"John F. Kennedy Stadium","Philadelphia","PA",19,3,"1","1"
"66","1965","Tie",7,7,7,7,NA,"John F. Kennedy Stadium","Philadelphia","PA",14,0,"0","1"
"67","1966","Army",20,7,20,7,27,"John F. Kennedy Stadium","Philadelphia","PA",27,13,"1","1"
