SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6212 Winnepeg Dr,Burke,VA,22015,925000,4,2.5,BURKE CENTRE,3319,14371,1981,26,279,80,Active,,,https://www.redfin.com/VA/Burke/6212-Winnepeg-Dr-22015/home/9731266,BRIGHT MLS,VAFX2077992,N,Y,38.7826109,-77.2940061
MLS Listing,,Single Family Residential,6104 Broadwick Ct,Burke,VA,22015,699000,4,3.0,CARDINAL GLEN,1844,11529,1978,26,379,,Active,,,https://www.redfin.com/VA/Burke/6104-Broadwick-Ct-22015/home/9737247,BRIGHT MLS,VAFX2078950,N,Y,38.7849193,-77.2777123
MLS Listing,,Townhouse,8834 Eagle Rock Ln,Springfield,VA,22153,599999,3,3.5,MIDDLEFORD SEC 2,1808,1400,1994,27,332,84,Active,,,https://www.redfin.com/VA/Springfield/8834-Eagle-Rock-Ln-22153/home/9771371,BRIGHT MLS,VAFX2073898,N,Y,38.7553089,-77.250463
MLS Listing,,Townhouse,5114 Harford Ln,Burke,VA,22015,480000,3,3.5,LAKE BRADDOCK,1638,2179,1971,27,293,90,Active,,,https://www.redfin.com/VA/Burke/5114-Harford-Ln-22015/home/9706882,BRIGHT MLS,VAFX2077620,N,Y,38.8115929,-77.2691268
MLS Listing,,Townhouse,5436 Calstock Ct,Burke,VA,22015,560000,3,2.5,LAKE BRADDOCK,2108,2489,1970,27,266,90,Active,,,https://www.redfin.com/VA/Burke/5436-Calstock-Ct-22015/home/9735329,BRIGHT MLS,VAFX2073908,N,Y,38.804165,-77.2673049
MLS Listing,,Townhouse,5420 Midship Ct,Burke,VA,22015,695000,3,2.5,LAKE BRADDOCK,1872,2639,1971,30,371,90,Active,,,https://www.redfin.com/VA/Burke/5420-Midship-Ct-22015/home/9733339,BRIGHT MLS,VAFX2075802,N,Y,38.801554,-77.2710918
MLS Listing,,Townhouse,5874 Wood Flower Ct,Burke,VA,22015,524900,3,3.0,PT BURKE CENTRE,1232,2156,1979,32,426,100,Active,,,https://www.redfin.com/VA/Burke/5874-Wood-Flower-Ct-22015/home/9728803,BRIGHT MLS,VAFX2076636,N,Y,38.792167,-77.295163
MLS Listing,,Single Family Residential,9300 Macswain Pl,Springfield,VA,22153,939000,4,2.5,LAKEWOOD HILLS,2693,10203,1986,32,349,,Active,,,https://www.redfin.com/VA/Springfield/9300-Mac-Swain-Pl-22153/home/9770978,BRIGHT MLS,VAFX2077492,N,Y,38.7506335,-77.2652772
MLS Listing,,Townhouse,5850 Kara Pl,Burke,VA,22015,619000,3,3.0,BURKE STATION SQUARE,2056,1760,1971,33,301,70,Active,,,https://www.redfin.com/VA/Burke/5850-Kara-Pl-22015/home/9735519,BRIGHT MLS,VAFX2077774,N,Y,38.7921286,-77.2582274
MLS Listing,,Single Family Residential,6119 Wicklow Dr,Burke,VA,22015,850000,5,3.5,BURKE CENTRE,3366,9764,1979,34,253,107,Active,,,https://www.redfin.com/VA/Burke/6119-Wicklow-Dr-22015/home/9737649,BRIGHT MLS,VAFX2071846,N,Y,38.7849991,-77.2903032
MLS Listing,,Single Family Residential,10730 Bear Oak Ct,Burke,VA,22015,759997,4,3.5,BURKE CENTRE,2110,9453,1979,34,360,96,Active,July-23-2022 01:00 PM,July-23-2022 04:00 PM,https://www.redfin.com/VA/Burke/10730-Bear-Oak-Ct-22015/home/9727223,BRIGHT MLS,VAFX2075446,N,Y,38.7927657,-77.3197664
MLS Listing,,Single Family Residential,8904 Spur Rd,Springfield,VA,22153,850000,4,3.5,ROLLING VALLEY,2852,10585,1977,35,298,3,Active,,,https://www.redfin.com/VA/Springfield/8904-Spur-Rd-22153/home/9770509,BRIGHT MLS,VAFX2071726,N,Y,38.7609583,-77.2549061
MLS Listing,,Condo/Co-op,5825 Cove Landing Rd #201,Burke,VA,22015,289700,2,2.0,BURKE COVE CONDO,886,,1982,35,327,297,Active,,,https://www.redfin.com/VA/Burke/5825-Cove-Landing-Rd-22015/unit-201/home/9729541,BRIGHT MLS,VAFX2074502,N,Y,38.793628,-77.304332
MLS Listing,,Single Family Residential,6726 Huntsman Blvd,Springfield,VA,22152,750000,4,3.0,ORANGE HUNT ESTATES,2726,10500,1968,39,275,,Active,,,https://www.redfin.com/VA/Springfield/6726-Huntsman-Blvd-22152/home/9767219,BRIGHT MLS,VAFX2041628,N,Y,38.7688947,-77.2520775
